,id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,dataset_id,weight_kg,weight_class
0,2013-P,455,921.3425313167772,"Cristian, Danesi",Sinalunga,Other,Italy,Pesa la Zucca! Foiano,,,343.7082790710967,859.3454659444676,0.0,Wolf,1,417.9136014650396,medium
1,2014-P,1471,306.83893141871755,"Johnson, Sue",DesMoines,Iowa,United States,Ryan Norlin Giant Pumpkin Weigh-off,,,0.0,0.0,0.0,Casper,1,139.17968458007894,light
2,2018-P,1395,339.00635696284814,"Schoffnegger, Guenther",,Styria,Austria,Austrian Weigh-off,1032 Klein,,0.0,0.0,0.0,Connecticut Field,1,153.7705714674922,light
3,2015-P,226,1285.2827794084133,"Therien, Ray",Susquehana,Pennsylvania,United States,Grims Orchard and Family Farms,2008 Neptune,2323 Meier,397.4707838887064,1479.2008772301897,0.0,Wolf,1,582.993986477421,heavy
5,2014-P,19,1840.520360538596,"Vande Brink, Nathan",Grand Rapids,Michigan,United States,Harnica Farms Great Pumpkin Weigh-off,2032 Mathison,1985 Miller,459.3130313263316,1938.397012469822,0.0,Atlantic Giant,1,834.8453113774228,heavy
6,2018-P,1499,246.9661529730421,"Young, John and Kerry",Peosta,Iowa,United States,Bloomfield Giant Pumpkin Bash,760 Davis Est,Self,236.94532925925884,277.95380458398563,0.0,Rouge Vif d’Etampes,1,112.02187125934812,light
7,2015-P,1669,160.5373911307254,"Stelts, Dave & Carol",Auburn,Washington,United States,Skagit Valley Giant Pumpkin Festival,,,188.6631592,171.10093818335022,0.0,Jack O'Lantern,1,72.818476317768,light
8,2017-P,1184,427.7965277083029,"Langenlois, Gartenbauschule",Baerndorf,Lower Austria,Austria,Austrian Weigh-off,Blaimschein 14,,0.0,0.0,0.0,Blue Hubbard,1,194.04508259626454,light
9,2017-P,1268,343.63630459114086,"Franzen, Ron",LONDON,Ohio,United States,Harnica Farms Great Pumpkin Weigh-off,,,244.157577761052,330.5228914679078,2.866811663584813,Big Max,1,155.87067867210476,light
10,2020-P,849,586.3697152015218,"O'Brien, Waylen",North Scituate,Rhode Island,United States,Woodstock Fair,1215 Young,916.5 Rondeau,317.74944954048016,723.8580647212067,0.0,Casper,1,265.97261185768866,medium
11,2016-P,2,2143.8151495702464,"Rutland, Bobby",Johnston,Rhode Island,United States,SNGPG Frerichs Farm Weigh-off,,1790 Wallace,437.8648777530226,1942.8981960682984,,Cinderella,1,972.4174013238672,heavy
13,2013-P,602,755.5882045586501,"Ruthruff, Derek",Somerset Center,Michigan,United States,Harnica Farms Great Pumpkin Weigh-off,1247 Platte,1479 Sweet,343.84005112101323,,0.0,Cinderella,1,342.7287648821672,medium
15,2013-P,577,824.6189269011176,"Hoomis, George & Mary Ann",Wisconsin Rapids,Wisconsin,United States,Stillwater Harvestfest,1048 Engel,open,354.7994492797487,845.1176391081452,0.0,Cinderella,1,374.0405482909317,medium
16,2016-P,858,694.4730306231958,"Mock, Eric",Bloomfield,Iowa,United States,Harvest Bash,1047.5 McWilliams,Open,328.2749109834337,828.4387576766496,0.0,Rouge Vif d’Etampes,1,315.00741090643663,medium
18,2020-P,660,779.4567488700485,"Lee, Mike",Simpson,Kansas,United States,Bloomfield Giant Pumpkin Bash,1002 Ailts,Self,308.8802102758096,698.3010183726454,18.83979440277368,Connecticut Field,1,353.55534563346305,medium
