,id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,dataset_id,weight_kg,weight_class
0,2013-P,455,921.3425313167772,"Cristian, Danesi",Sinalunga,Other,Italy,Pesa la Zucca! Foiano,,,343.7082790710967,859.3454659444676,0.0,Wolf,1,417.9136014650396,medium
2,2018-P,1395,339.00635696284814,"Schoffnegger, Guenther",,Styria,Austria,Austrian Weigh-off,1032 Klein,,0.0,0.0,0.0,Connecticut Field,1,153.7705714674922,light
8,2017-P,1184,427.7965277083029,"Langenlois, Gartenbauschule",Baerndorf,Lower Austria,Austria,Austrian Weigh-off,Blaimschein 14,,0.0,0.0,0.0,Blue Hubbard,1,194.04508259626454,light
24,2013-P,693,650.616377057635,"Raduazzo, Leonardo",Corazzano,Other,Italy,Festa della zucca di sale,1279 Bartoli,1420 Cutrupi,298.71244192444493,692.3502323969418,0.0,Cinderella,1,295.11438370232673,medium
65,2014-P,959,605.7188852069532,"Jaglarz, Mario",,Other,Austria,Austrian Weigh-off,934 Schieder,,285.8827170832146,642.9791624015543,3.1669953583811137,Atlantic Giant,1,274.74924057879235,medium
67,2014-P,285,1263.197230993964,"Cutrupi, Stefano",Novellara,Emilia-Romagna,Italy,Campionato dello Zuccone,1985 Miller,1625 Gantner,399.75782245654295,1274.8446255556662,0.0,Cinderella,1,572.9761584010141,heavy
80,2018-P,807,801.5123873133267,"Asta, Carmelo",,Other,Italy,Festa della zucca di sale,1333 garofano,767 louse,301.6987212087408,714.2094392832682,9.050548829797313,Blue Hubbard,1,363.5596067862265,medium
93,2019-P,1627,101.4488301345216,"Moretti, Sergio",Foiano della Chiana,Tuscany,Italy,Pesa la Zucca! Foiano,,,145.77139404807758,92.38916702451915,10.03767038792524,Blue Hubbard,1,46.01637775837792,light
111,2017-P,1483,176.74139027718508,"Gregori, Stefano",,Lombardy,Italy,Festa della zucca di sale,unknow,unknow,189.3497413984213,152.87183660520932,11.594942909510031,Cinderella,1,80.16848069860893,light
141,2017-P,1190,392.0805972247969,"Spreafico, Luca",Dogliani,Piedmont,Italy,Sfida degli Zucconi della Brianza,"1111,5 Berard","1297,5 Young",254.41705877209844,409.6423160433606,1.033590674646952,Early Giant,1,177.84462225639007,light
142,2018-P,691,831.4073023854617,"Rodler, Bernd",,Lower Austria,Austria,Europameisterschaft im Kurbiswiegen,2269 Paton,2145 McMullen,327.5239088821761,931.9677401156434,0.0,Blue Hubbard,1,377.1197011036263,medium
193,2015-P,1721,111.3712719666521,"Valentini, Berenice",Artogne,Other,Italy,Festa della zucca di sale,,,0.0,0.0,0.0,Dill's Atlantic,1,50.517117993897656,light
221,2016-P,1121,572.4880017081374,"Bauer, Doris",Wien,Lower Austria,Austria,Austrian Weigh-off,,self,309.6081634693055,635.3134508070048,0.0,Spirit,1,259.67597767079747,medium
